DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2000,10250952,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009,14478067.3,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1999,9631171.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023,27360934.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1995,7639749.3,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2021,23594030.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1997,755416,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1996,712131,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1995,688183.6,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2002,971009.1,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007,1301593.9,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2006,1241618.9,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2005,1171340.2,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2004,1083615.2,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2003,1023686.5,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2001,937793,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2000,901003.3,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1999,846421.3,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1998,793682.1,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023,2545454.2,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2022,2415839.7,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2021,2133084.7,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2020,1847838.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2019,1899695,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2018,1852987.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2017,1765763.2,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2016,1678093.4,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2015,1594850.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2014,1621396.7,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2013,1554122.7,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012,1468095,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011,1430807.1,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010,1363579,,,F,1,A,6,USD
