DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023,4449226.3,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1995,1325535.3,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2022,4182438.5,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2021,3787769.5,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007,2389038.7,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2019,3333775.6,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2019,9761181.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2018,9125000.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2017,8128896,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2016,7579280.2,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2002,2438557.2,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2006,3594168,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2014,6674128.3,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2013,6303742.8,,,F,1,A,6,USD
